# r/Å                 g(r)         N(r)
9.275000         0.531302   199.565045
9.285000         0.534119   199.950031
9.295000         0.530914   200.333531
9.305000         0.526896   200.714949
9.315000         0.520712   201.092700
9.325000         0.522072   201.472252
9.335000         0.519612   201.850826
9.345000         0.520541   202.230890
9.355000         0.519357   202.610901
9.365000         0.514757   202.988352
9.375000         0.508532   203.362036
9.385000         0.504205   203.733331
9.395000         0.502221   204.103953
9.405000         0.501712   204.474988
9.415000         0.497366   204.843592
9.425000         0.495987   205.211954
9.435000         0.493432   205.579198
9.445000         0.488071   205.943221
9.455000         0.486468   206.306818
9.465000         0.485539   206.670489
9.475000         0.485747   207.035085
9.485000         0.477743   207.394430
9.495000         0.474754   207.752281
9.505000         0.472150   208.108919
9.515000         0.465331   208.461145
9.525000         0.465029   208.813884
9.535000         0.465563   209.167770
9.545000         0.465977   209.522713
9.555000         0.462902   209.876053
9.565000         0.458563   210.226815
9.575000         0.459022   210.578662
9.585000         0.456808   210.929544
9.595000         0.451352   211.276959
9.605000         0.450376   211.624345
9.615000         0.445349   211.968570
9.625000         0.444572   212.312908
9.635000         0.437382   212.652383
9.645000         0.436456   212.991842
9.655000         0.435308   213.331111
9.665000         0.430192   213.667088
9.675000         0.428746   214.002628
9.685000         0.428412   214.338601
9.695000         0.425368   214.672876
9.705000         0.426676   215.008870
9.715000         0.427728   215.346387
9.725000         0.424725   215.682225
9.735000         0.415700   216.011603
9.745000         0.406943   216.334706
9.755000         0.408419   216.659646
9.765000         0.405220   216.982702
9.775000         0.404446   217.305802
9.785000         0.395596   217.622479
9.795000         0.389641   217.935027
9.805000         0.388854   218.247581
9.815000         0.390345   218.561973
9.825000         0.393465   218.879525
9.835000         0.392964   219.197318
9.845000         0.389616   219.513044
9.855000         0.387786   219.827926
9.865000         0.385182   220.141330
9.875000         0.383374   220.453894
9.885000         0.382367   220.766270
9.895000         0.377860   221.075588
9.905000         0.375509   221.383603
9.915000         0.371317   221.688796
9.925000         0.365629   221.989919
9.935000         0.361874   222.288551
9.945000         0.359465   222.585792
9.955000         0.361419   222.885250
9.965000         0.360932   223.184906
9.975000         0.359701   223.484139
9.985000         0.356338   223.781170
9.995000         0.351377   224.074652
